"Site Id","Websitesleutel"
"Install Path","Installatie-pad"
"Enable","Status"
"Website Token","Websitesleutel"
"Location","Serverlocatie"
"Encryption Token","Encryptiesleutel"
"Settings","Instellingen"
"Find the website token in the dashboard","De websitesleutel is te vinden in het dashboard"
"The server location","De serverlocatie"
"Find the encryption token in the dashboard","De encryptiesleutel is te vinden in het dashboard"
"Only when enabled visitor data is tracked","Er wordt enkel data gemeten wanneer ingeschakeld"
"Yes","Ingeschakeld"
"No","Uitgeschakeld"
"Advanced","Geavanceerd"
"Checkout URL","URL Checkout"
"Enter the URL to the checkout page","Voer de URL naar de checkout-pagina in"
